
jacksparrow-backend  | INFO:     127.0.0.1:59782 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:27:48.094255Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:28:05.111385Z"}
jacksparrow-backend  | INFO:     127.0.0.1:49868 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:28:18.666297Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:28:36.293083Z"}
jacksparrow-backend  | INFO:     127.0.0.1:49586 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:28:49.194790Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:29:07.198903Z"}
jacksparrow-backend  | INFO:     127.0.0.1:56320 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:29:19.720685Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:29:38.095462Z"}
jacksparrow-backend  | INFO:     127.0.0.1:43632 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:29:50.253875Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:30:10.335076Z"}
jacksparrow-backend  | INFO:     127.0.0.1:57640 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:30:20.786579Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_exchange_portfolio", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:30:39.148554Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:30:41.750148Z"}
jacksparrow-backend  | INFO:     127.0.0.1:49974 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:31:01.270050Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_ticker", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:31:03.597729Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:31:13.732190Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_exchange_portfolio", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:31:24.548569Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_exchange_fills", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:31:25.816231Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:31:27.018995Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:31:31.933583Z"}
jacksparrow-backend  | INFO:     127.0.0.1:35132 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:32:02.501576Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:32:06.645272Z"}
jacksparrow-backend  | INFO:     127.0.0.1:53336 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:32:33.050898Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:32:55.309780Z"}
jacksparrow-backend  | INFO:     127.0.0.1:51654 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:33:03.599791Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:33:26.261916Z"}
jacksparrow-backend  | INFO:     127.0.0.1:53300 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:33:34.132908Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:33:58.613683Z"}
jacksparrow-backend  | INFO:     127.0.0.1:41018 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:34:04.673004Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:34:31.134868Z"}
jacksparrow-backend  | INFO:     127.0.0.1:60692 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:34:35.309538Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:35:02.626353Z"}
jacksparrow-backend  | INFO:     127.0.0.1:33164 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:35:05.921105Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:35:34.128861Z"}
jacksparrow-backend  | INFO:     127.0.0.1:41928 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:36:05.178100Z"}
jacksparrow-backend  | INFO:     127.0.0.1:42044 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:36:36.324478Z"}
jacksparrow-backend  | INFO:     127.0.0.1:41404 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:37:06.893289Z"}
jacksparrow-backend  | INFO:     127.0.0.1:41798 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:37:37.481037Z"}
jacksparrow-backend  | INFO:     127.0.0.1:48914 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:38:08.031281Z"}
jacksparrow-backend  | INFO:     127.0.0.1:57792 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:38:38.577415Z"}
jacksparrow-backend  | INFO:     127.0.0.1:44862 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:39:09.170033Z"}
jacksparrow-backend  | INFO:     127.0.0.1:54534 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:39:39.733536Z"}
jacksparrow-backend  | INFO:     127.0.0.1:58220 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:40:10.266158Z"}
jacksparrow-backend  | INFO:     127.0.0.1:50740 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:40:40.793524Z"}
jacksparrow-backend  | INFO:     127.0.0.1:49770 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:41:11.333462Z"}
jacksparrow-backend  | INFO:     127.0.0.1:37048 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:41:41.868280Z"}
jacksparrow-backend  | INFO:     127.0.0.1:54156 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_ticker", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:42:10.503538Z"}
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:42:12.392914Z"}
jacksparrow-backend  | INFO:     127.0.0.1:39934 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:42:42.923901Z"}
jacksparrow-backend  | INFO:     127.0.0.1:33606 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:43:13.475860Z"}
jacksparrow-backend  | INFO:     127.0.0.1:35134 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:43:44.018719Z"}
jacksparrow-backend  | INFO:     127.0.0.1:36774 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:44:14.589516Z"}
jacksparrow-backend  | INFO:     127.0.0.1:39946 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:44:45.120468Z"}
jacksparrow-backend  | INFO:     127.0.0.1:34700 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:45:15.670007Z"}
jacksparrow-backend  | INFO:     127.0.0.1:44390 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:45:46.217852Z"}
jacksparrow-backend  | INFO:     127.0.0.1:60856 - "GET /api/v1/health HTTP/1.1" 200 OK
jacksparrow-backend  | {"error": "received 1000 (OK); then sent 1000 (OK)", "command": "get_status", "message": "Outbound WebSocket send failed; may fall back to Redis", "event": "outbound_agent_command_ws_send_exception", "environment": "local", "session_id": "4dadfe749f7a41948b69279e2fa52c6e", "service": "backend", "level": "error", "logger": "backend.services.agent_service", "timestamp": "2026-06-07T11:46:16.772689Z"}
jacksparrow-backend  | INFO:     127.0.0.1:50628 - "GET /api/v1/health HTTP/1.1" 200 OK
